Wovenwar	Confession	US
Mike Shinoda	Ghosts	US
System of a Down	Lonely Day	US
Three Days Grace	Painkiller	CA
Muse	Pressure	GB
The Chainsmokers	Something Just Like This	US
Drowning Pool	We Are the Devil	US
Anacondaz	Ты знаешь, кто он	RU
kull	An Ensign Consigned	GB
Frozen Crown	Arctic Gales	IT
A Sound of Thunder	Atlacatl	US
Helloween	Before the War	DE
Atlantean Kodex	Bilwis	DE
Alan Silvestri	Even for You	US
Perfume	Everyday	JP
Dragony	Fallen Star	AT
Dark Lunacy	Forlorn	IT
Derdian	Hail To The Masters	IT
AC/DC	Heatseeker	AU
Kamelot	In Twilight Hours	US
Modena City Ramblers	In Un Giorno Di Pioggia	IT
Orphaned Land	Like Orpheus	IL
The Sword	Maiden, Mother & Crone	US
Greta Van Fleet	Meet On The Ledge	US
Amorphis	Pyres On The Coast	FI
TWICE	ROLLIN’	KR
Twilight Force	Twilight Horizon	SE
Dream Theater	Untethered Angel	US
Marduk	Viktoria	SE
Mark Mothersbaugh	Where's the Sword?	US
The Japanese House	You Seemed so Happy	GB
Skáphe	I	IS
Supernova 1006	No More Sorry	RU
Om	State of Non-Return	US
Mgła	With Hearts Toward None VII	PL
Procol Harum	A Salty Dog	GB
The Cure	Accuracy	GB
Ordo Rosarius Equilibrio	Beloved Kitty and the Piercing Bolts of Amor	SE
Manowar	Dark Avenger	US
Hawkwind	Dream Dancers	GB
Gentle Giant	Experience	GB
Mark Knopfler	Go, Love	GB
Genesis	Horizons	GB
Fish	Just Good Friends	GB
Mark Knopfler	Kingdom of Gold	GB
Oasis	Morning Glory	GB
Tomorrow	My White Bicycle	GB
Manowar	Number 1	US
Sodom	Remember the Fallen	DE
Kreator	Renewal	DE
Manowar	Ride the Dragon	US
Marillion	Script for a Jester's Tear	GB
Regina Spektor	Small Town Moon	US
Oasis	Some Might Say	GB
Mark Knopfler	Sucker Row	GB
King Crimson	The Hell Hounds of Krim	GB
Kasabian	Underdog	GB
Rome	Wir Götter der Stadt	LU
Batushka	Yekteniya 3	BG
Batushka	Yekteniya 6	BG
Laibach	Yisra'el	SI
Аквариум	Древнерусская тоска	RU
Аквариум	Кусок жизни	RU
КОБЫЛА И ТРУПОГЛАЗЫЕ ЖАБЫ ИСКАЛИ ЦЕЗИЮ, НАШЛИ ПОЗДНО УТРОМ СВИСТЯЩЕГО ХНА	Молох	RU
ПНЕВМОСЛОН	Принцесса в трусах с алиэкспресса	RU
ДДТ	Расстреляли рассветами	RU
Аквариум	Стучаться в двери травы	RU
Foals	10,000 Feet	GB
Bon Iver	29 #Strafford APTS	US
David Bowie	A New Career in a New Town	GB
Dinosaur Jr.	Alone	US
Guided by Voices	Back to the Lake	US
Kendrick Lamar	Chapter Six	US
Tom Waits	Cinny's Waltz	US
Elliott Smith	Cupid's Trick	US
Field Music	Daylight Saving	GB
TV on the Radio	Dirtywhirl	US
Wilco	Everyone Hides	US
Sleep	Evil Gypsy / Solomon's Theme	US
Danny Brown	Exotic	US
Common	Faithful	US
Little Simz	Flowers (feat. Michael Kiwanuka)	GB
Kendrick Lamar	Fuck Your Ethnicity	US
Run the Jewels	Get It	US
Guided by Voices	Gold Star For Robot Boy	US
The Beths	Great No One	NZ
The National	Guilty Party	US
Teenage Fanclub	Happiness	GB
Melvins	Hex Me	US
The Replacements	Hootenanny	US
The Cribs	I'm a Realist	GB
Mitski	Jobless Monday	US
David Bowie	Joe the Lion	GB
The Men	Killed Someone	US
Half Man Half Biscuit	Knobheads on Quiz Shows	GB
Cloud Nothings	Leave Him Now	US
Cypress Hill	Locos	US
Bob Dylan	New Morning	US
Bishop Nehru	No Idea	US
Car Seat Headrest	Not What I Needed	US
Cypress Hill	Oh Na Na	US
U.S. Girls	Pearly Gates	US
Atmosphere	Randy Mosh (feat. The Dynospectrum)	US
Mitski	Real Men	US
Melvins	Respite	US
Interpol	Same Town, New Story	US
The Cribs	Simple Story	GB
Melvins	Sweet Willy Rollbar	US
Suede	The Asphalt World	GB
Daniel Blumberg	The Bomb	GB
MF DOOM	The Mic	US
Talk Talk	The Rainbow	GB
The Band	When You Awake	CA
Stiff Little Fingers	White Noise	GB
Foals	White Onions	GB
Westside Gunn	Wrestlemania 20 (feat. Anderson .Paak)	US
Kurt Vile	Yeah Bones	US
The Rolling Stones	You Gotta Move	GB
The Dillinger Escape Plan	Nothing To Forget	US
Biosphere	Bergsbotn III	NO
Grandaddy	Chartsengrafs	US
Ultravox	Dancing With Tears in My Eyes	GB
Gwen Stefani	Hollaback Girl	US
Patrick Cowley	Sea Hunt	US
Yellow Magic Orchestra	Technopolis	JP
Rex the Dog	The Sounds: Tony The Beat (Rex The Dog Remix)	GB
Laibach	The Whistleblowers	SI
Alva Noto	Xerrox Monophaser 2	DE
Alva Noto	Xerrox Soma	DE
Hanoi Rocks	Cheyenne	FI
Hanoi Rocks	Futurama	FI
King Diamond	Haunted	DK
Angel Dust	I'll Come Back	US
Agent Steel	Indestructive	US
Candlemass	Mourners Lament	SE
W.A.S.P.	My Tortured Eyes	US
Slayer	Necrophobic	US
Horisont	Point of Return	SE
Crimson Glory	Queen of the Masquerade	US
Riot	Rock City	US
Van Halen	Runnin' With the Devil	US
Iron Maiden	The Trooper	GB
Loudness	Who Knows	JP
Heathen	Worlds End	US
Riot	You Burn In Me	US
Ignite	Bleeding	US
